genero,ceneval_global,ceneval_analitico,ceneval_matematico,ceneval_lengua,ceneval_esp
H,1168,1156,1217,1157,1110
H,1126,1084,1193,1061,1134
H,1126,1084,1193,1085,1110
H,1066,1012,1025,1109,1086
M,1006,1012,929,1037,1014
H,1216,1228,1217,1181,1206
M,1138,1132,1169,1133,1086
M,1132,1060,1169,1109,1158
M,1120,1180,1121,1085,1062
M,1072,1084,1049,1037,1086
H,1126,1180,1025,1109,1158
H,970,892,905,1061,990
H,1192,1132,1217,1157,1230
M,1060,1012,1097,1013,1086
M,1012,988,1049,989,990
H,1150,1132,1097,1181,1158
H,1000,1036,953,965,1014
H,1012,1036,905,989,1086
M,1072,1084,1121,1013,1038
H,1036,1012,1097,917,1086
H,1030,1108,953,1037,990
H,1060,1108,1049,1037,1014
H,1132,1156,1145,1109,1086
H,1102,1084,1121,1109,1062
H,1000,988,1001,1037,942
H,1114,1132,1121,1085,1086
H,1018,1060,977,1037,966
M,1108,1180,1025,1037,1158
H,922,844,833,989,990
H,1090,1108,1073,1061,1086
H,1132,1204,1073,1085,1134
H,1120,1108,1097,1157,1086
M,1204,1180,1289,1151,1158
M,1174,1270,1109,1211,1068
H,1228,1252,1217,1229,1182
M,1144,1132,1097,1181,1134
H,1078,1084,1097,1061,1038
H,1252,1228,1241,1253,1254
H,1078,1060,1097,1061,1062
H,1114,1084,1073,1133,1134
H,994,1036,905,965,1038
M,958,916,905,893,1086
H,1042,1012,1073,1013,1038
H,1060,1060,1025,1061,1062
H,1132,1108,1145,1085,1158
H,1114,1060,1073,1157,1134
H,1048,1060,1001,1013,1086
M,1150,1156,1145,1109,1158
M,976,916,1025,965,966
H,1198,1180,1265,1109,1206
H,994,1036,1049,917,942
H,1102,1132,1001,1085,1158
M,1024,1036,929,989,1110
H,1042,1060,1001,989,1086
H,1066,1156,977,1061,1038
H,1084,1060,1073,1085,1086
M,1132,1180,1169,1085,1062
H,1096,1108,1145,1037,1062
M,1096,1228,1025,1037,1062
M,1210,1252,1217,1133,1206
M,1012,1012,953,989,1062
H,1000,1060,953,917,1038
H,1108,1132,1049,1061,1158
H,1132,1060,1217,1133,1086
M,1048,1036,1073,989,1062
H,1120,1156,977,1229,1086
H,1150,1108,1097,1157,1206
H,1126,1108,1049,1109,1206
H,898,964,833,893,870
M,1138,1132,1217,1085,1086
H,1144,1132,1193,1109,1110
H,1102,1132,1001,1061,1182
M,1192,1228,1193,1157,1158
M,1114,1060,1169,1121,1098
H,1168,1108,1241,1109,1182
H,982,1036,881,941,1038
H,982,1036,905,989,966
M,1036,1108,1121,869,1014
H,1030,1012,1025,1061,990
M,1102,1060,1001,1157,1158
H,946,940,905,1037,870
H,886,892,857,917,846
H,1126,1180,1145,1061,1086
M,976,964,881,1085,942
H,946,1012,929,965,846
H,1066,1036,1097,1037,1062
H,1102,1108,1049,1109,1110
H,1012,1036,1001,1037,942
H,1210,1228,1169,1205,1206
M,1072,1150,1049,1031,918
H,1162,1132,1145,1133,1206
H,1204,1132,1169,1253,1230
H,1162,1204,1169,1181,1062
H,1000,1012,977,941,1038
H,1102,1036,1097,1109,1134
M,1204,1276,1217,1133,1158
H,1060,1060,1097,1037,1014
H,1102,1156,1073,1109,1038
H,1108,1120,1079,1181,1068
H,1090,1156,1001,1085,1086
H,1138,1180,1049,1157,1134
M,1198,1276,1145,1181,1158
H,1054,1036,1121,1037,990
M,1150,1204,1145,1085,1134
M,1102,1036,953,1253,1134
H,970,1012,953,917,966
H,1006,1012,1025,1061,894
H,1174,1180,1241,1037,1206
H,1108,1156,1169,1085,990
M,1144,1108,1193,1181,1062
H,1210,1228,1193,1229,1158
M,1114,1090,1109,1151,1158
H,1096,1204,1145,1085,918
M,1126,1060,1121,1109,1182
H,1066,850,1079,1151,1188
M,1126,1180,1139,1181,1038
H,1120,1132,1049,1109,1158
H,1192,1252,1217,1061,1206
H,976,1036,953,965,918
H,1132,1180,1097,1109,1110
H,1048,1084,1049,1061,966
M,1150,1180,1145,1109,1134
M,934,916,881,917,990
H,1168,1132,1145,1229,1134
M,988,1000,1049,1001,858
M,1054,1060,989,1031,1068
H,1078,1090,1109,1091,1008
M,1132,1150,1079,1151,1068
M,934,880,929,911,978
M,1120,1120,1199,1151,978
M,1186,1180,1199,1061,1218
H,1096,1120,1139,1121,1008
M,1042,910,1109,1001,1098
M,1066,1000,1049,1121,1038
H,1192,1240,1199,1151,1128
H,1186,1180,1049,1211,1188
M,940,970,899,941,1008
H,1084,1060,1049,1091,1128
M,1180,1270,1259,1121,1098
H,1180,1060,1199,1241,1188
M,1144,1090,1109,1151,1128
H,1000,940,989,971,948
H,1126,1090,1199,1091,1068
H,844,970,959,881,700
M,934,910,959,941,888
H,1054,1090,1079,941,1098
H,1186,1270,1289,1151,1098
H,1024,940,1019,1031,978
M,1018,964,1049,1013,1014
H,1108,1060,1139,1121,1128
H,928,892,977,917,894
H,1168,1180,1241,1061,1158
M,1072,1060,1097,1109,990
M,994,1012,929,989,1014
H,1144,1120,1109,1181,1098
H,1018,1060,1109,1001,918
H,1018,1030,1049,911,948
H,1036,1084,1001,1037,990
M,952,964,833,989,990
H,1066,1012,953,1133,1134
H,1198,1240,1139,1181,1128
H,1132,1150,1139,1121,1188
M,1126,1120,1109,1211,1128
H,1204,1210,1229,1181,1218
M,1192,1270,1259,1211,1098
M,1120,1084,1097,1205,1062
H,1024,1108,1001,965,990
H,1126,1150,1169,1061,1068
H,1036,1000,959,1061,978
H,1114,1030,1109,1151,1098
H,1084,1000,1199,1061,1158
H,1072,1030,899,1181,1068
H,1060,1000,1019,1031,1038
H,1120,1120,1079,1181,1068
M,1084,1060,1019,1091,1098
H,1126,1150,1169,1001,1128
M,1054,1000,989,1061,1068
H,1030,1090,989,1001,1068
M,1060,1030,959,1001,1158
H,1150,940,1139,1211,1248
H,1024,940,1109,1031,1038
H,994,1030,899,1031,978
H,1066,1132,1073,1061,966
H,1102,1132,1001,1061,1182
H,1174,1060,1193,1157,1254
M,1138,1132,1121,1109,1158
H,1102,1084,1121,1085,1086
H,1060,1036,1025,1157,990
H,1114,1156,1217,1061,1405
H,1156,1180,1193,1085,1134
H,982,1012,1073,941,870
H,1084,1084,1049,1061,1110
H,1186,1132,1193,1205,1182
H,1180,1180,1265,1085,1158
H,1150,1180,1193,1085,1110
H,1180,1204,1217,1133,1134
H,1180,1228,1145,1133,1182
H,1108,1108,1169,1013,1110
H,1192,1228,1145,1133,1230
M,1246,1252,1193,1253,1254
H,1156,1132,1121,1181,1158
H,1234,1276,1265,1133,1230
M,1216,1204,1241,1157,1230
H,1084,1180,881,1133,1110
H,1108,1060,1121,1133,1086
H,1186,1276,1217,1085,1134
M,1042,988,977,1037,1134
M,1078,1108,1001,1037,1134
H,1084,1084,1073,1037,1110
H,1084,1180,977,1157,990
H,1156,1204,1001,1181,1206
H,1078,1108,1025,1037,1110
H,982,964,953,1037,942
H,1192,1228,1145,1229,1134
M,1072,1108,1049,1037,1062
H,952,1036,977,845,918
H,1024,964,953,1061,1086
H,1144,1252,1121,1109,1062
H,964,988,1001,941,894
H,1036,1060,1025,965,1062
M,1144,1204,1049,1205,1086
H,940,988,929,845,966
M,1042,988,1097,941,1110
H,1036,988,1073,1013,1038
H,1090,1012,1001,1181,1134
H,1066,1012,1049,1013,1158
H,1114,1156,1097,1109,1062
M,1150,1180,1097,1109,1182
H,1072,1132,1001,1037,1086
H,1114,1132,1121,1085,1086
M,1042,1132,1001,941,1062
H,910,964,785,989,870
H,1156,1204,1145,1157,1086
H,1024,970,1049,941,1038
H,1174,1132,1169,1181,1182
H,1138,1180,1049,1205,1086
M,1162,1156,1217,1109,1134
H,1090,1090,1109,1121,1068
H,1234,1270,1229,1241,1158
H,1162,1210,1259,1121,1068
H,1102,1150,1139,1061,1068
H,1108,1090,1259,1091,1008
M,1042,970,1079,1091,948
H,1012,916,977,1037,1086
M,1024,964,929,1109,1062
M,1036,1084,1097,1037,894
H,1114,1180,953,1157,1134
M,1006,964,1049,1013,966
H,970,892,857,1013,1086
H,976,1012,857,1013,990
M,1006,988,929,989,1086
H,1084,988,1097,1109,1110
M,1198,1108,1265,1253,1134
H,1156,1132,1097,1133,1230
H,1030,988,905,1061,1134
M,1030,1060,1097,989,942
H,1198,1180,1169,1181,1230
H,1096,1252,1049,989,1062
M,1162,1108,1169,1157,1182
H,976,940,905,1037,990
M,982,1012,953,941,990
M,1168,1156,1217,1133,1134
M,1126,1180,1097,1061,1134
M,1114,1204,1049,1037,1134
H,1114,1108,1025,1061,1230
M,1102,1204,1169,1037,966
H,1078,1084,1097,989,1110
H,1168,1204,1145,1109,1182
H,1066,1108,1001,1037,1086
H,1132,1084,1169,1205,1038
H,1114,1204,1169,1037,1014
M,1192,1156,1217,1157,1206
H,994,916,1049,893,1086
M,952,964,929,941,942
H,916,988,833,917,894
H,1090,1180,1025,1037,1086
